ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
MSFT,TWAP,0.05,0.2,base,20,1.0,-5.034714892052319,3.1236657268747803
MSFT,TWAP,0.05,0.2,high,20,1.0,-0.263511552226176,7.89870106206686
MSFT,TWAP,0.05,0.2,low,20,1.0,-7.420316561966667,0.7361480592774085
MSFT,VWAP,0.01,0.05,base,20,1.0,-6.377570723783691,1.827816309697805
MSFT,VWAP,0.01,0.05,high,20,1.0,-3.257998649527829,4.949924570941621
MSFT,VWAP,0.01,0.05,low,20,1.0,-7.937356760913029,0.26676217907478667
MSFT,VWAP,0.01,0.1,base,20,1.0,-6.377072947700435,1.8283129948792332
MSFT,VWAP,0.01,0.1,high,20,1.0,-3.2572164399850245,4.950705852322212
MSFT,VWAP,0.01,0.1,low,20,1.0,-7.937001201559143,0.2671165661566334
MSFT,VWAP,0.01,0.2,base,20,1.0,-6.377072947700435,1.8283129948792332
MSFT,VWAP,0.01,0.2,high,20,1.0,-3.2572164399850245,4.950705852322212
MSFT,VWAP,0.01,0.2,low,20,1.0,-7.937001201559143,0.2671165661566334
MSFT,VWAP,0.03,0.05,base,20,0.9986045182521213,-5.612623472404342,2.578820636622625
MSFT,VWAP,0.03,0.05,high,20,0.9986045182521213,-1.7297117311848655,6.470514882893963
MSFT,VWAP,0.03,0.05,low,20,0.9986045182521213,-7.55407934301701,0.6329735134845692
MSFT,VWAP,0.03,0.1,base,20,1.0,-5.558309865548432,2.647701875474251
MSFT,VWAP,0.03,0.1,high,20,1.0,-1.6207529142921664,6.588448491713805
MSFT,VWAP,0.03,0.1,low,20,1.0,-7.527088341178977,0.6773285673519203
MSFT,VWAP,0.03,0.2,base,20,1.0,-5.556070320945985,2.6499716487322633
MSFT,VWAP,0.03,0.2,high,20,1.0,-1.615125797417455,6.594108387827591
MSFT,VWAP,0.03,0.2,low,20,1.0,-7.526542582712791,0.6779032791820458
MSFT,VWAP,0.05,0.05,base,20,0.884930269667643,-6.002868852937214,1.3200760806605372
MSFT,VWAP,0.05,0.05,high,20,0.884930269667643,-2.3094469528660575,5.502973683477686
MSFT,VWAP,0.05,0.05,low,20,0.884930269667643,-7.849579802971794,-0.7713727207463993
MSFT,VWAP,0.05,0.1,base,20,0.9999016716158996,-5.030615326162129,3.1721492196611356
MSFT,VWAP,0.05,0.1,high,20,0.9999016716158996,-0.5614328210467615,7.645390900212379
